,Yellow baboon
1,287427.0
2,168509.0
3,113467.0
4,82232.0
5,64245.0
6,50982.0
7,43618.0
8,36639.0
9,31471.0
10,27726.0
11,24256.0
12,22264.0
13,19294.0
14,18308.0
15,17165.0
16,16297.0
17,15356.0
18,14089.0
19,13545.0
20,12471.0
21,12319.0
22,11627.0
23,10903.0
24,10658.0
25,10045.0
26,9626.0
27,9640.0
28,9801.0
29,9145.0
30,8316.0
31,8593.0
32,8191.0
33,7965.0
34,7474.0
35,7639.0
36,7363.0
37,7434.0
38,7645.0
39,6700.0
40,6759.0
41,6298.0
42,6686.0
43,6551.0
44,6284.0
45,6155.0
46,6280.0
47,6026.0
48,6069.0
49,6345.0
50,6281.0
51,5892.0
52,5893.0
53,6522.0
54,5915.0
55,6217.0
56,6953.0
57,5894.0
58,6183.0
59,5909.0
60,3723.0
