,Olive baboon
1,217244.0
2,129008.0
3,82881.0
4,65301.0
5,50738.0
6,41406.0
7,33328.0
8,27022.0
9,23461.0
10,20770.0
11,18483.0
12,16365.0
13,15239.0
14,14617.0
15,13785.0
16,11969.0
17,11291.0
18,9853.0
19,9871.0
20,8915.0
21,8690.0
22,8433.0
23,8785.0
24,7737.0
25,7782.0
26,7153.0
27,7518.0
28,6919.0
29,6256.0
30,6491.0
31,5714.0
32,5684.0
33,5236.0
34,4898.0
35,4621.0
36,4846.0
37,5115.0
38,4952.0
39,5177.0
40,4288.0
41,4171.0
42,4133.0
43,3964.0
44,3856.0
45,3898.0
46,3913.0
47,3990.0
48,3754.0
49,3895.0
50,3426.0
51,3564.0
52,3373.0
53,3519.0
54,3134.0
55,3180.0
56,3367.0
57,2966.0
58,3151.0
59,3166.0
60,2962.0
61,3095.0
62,3076.0
63,3172.0
64,2875.0
65,3053.0
66,3264.0
67,2888.0
68,2851.0
69,2947.0
70,2822.0
71,2675.0
72,3016.0
73,2779.0
74,2956.0
75,2856.0
76,2896.0
77,2825.0
78,2825.0
79,2810.0
80,2540.0
81,2643.0
82,2677.0
83,2967.0
84,2888.0
85,3011.0
86,2951.0
87,1714.0
